id,years_on_file,ltv,state
2006,14,,WA
2007,3,,TX
2008,19,,NY
2009,2,,FL
2010,11,,CA
2011,18,,OH
2012,5,,GA
2013,1,,IL
2014,20,,PA
2015,9,,MI
2016,13,,NC
2017,7,,VA
2018,4,,AZ
2019,16,,NJ
2020,10,,MA
2021,8,,WA
2022,12,,CO
2023,17,,TN
2024,6,,IN
2025,15,,MO
2026,2,,MD
2027,19,,WI
2028,1,,MN
2029,20,,AL
2030,11,,SC
2031,3,,LA
2032,14,,KY
2033,5,,OR
2034,18,,OK
2035,8,,CT
2036,10,,UT
2037,13,,IA
2038,7,,NV
2039,4,,AR
2040,16,,MS
2041,12,,KS
2042,17,,NM
2043,9,,NE
2044,6,,WV
2045,15,,ID
2046,1,,HI
2047,20,,NH
2048,11,,ME
2049,3,,RI
2050,14,,MT
2051,5,,DE
2052,18,,SD
2053,8,,ND
2054,10,,AK
2055,13,,VT
2056,7,,WY
2057,4,,TX
2058,16,,FL
2059,12,,OH
2060,17,,CA
2061,9,,GA
2062,6,,NY
2063,15,,IL
2064,1,,PA
2065,20,,MI
2066,11,,NC
2067,3,,VA
2068,14,,AZ
2069,5,,NJ
2070,18,,MA
2071,8,,CO
2072,10,,TN
2073,13,,IN
2074,7,,MO
2075,4,,MD
2076,16,,WI
2077,12,,MN
2078,17,,AL
2079,9,,SC
2080,6,,LA
2081,15,,KY
2082,1,,OR
2083,20,,OK
2084,11,,CT
2085,3,,UT
2086,14,,IA
2087,5,,NV
2088,18,,AR
2089,8,,MS
2090,10,,KS
2091,13,,NM
2092,7,,NE
2093,4,,WV
2094,16,,ID
2095,12,,HI
2096,17,,NH
2097,9,,ME
2098,6,,RI
2099,15,,MT
2100,1,,DE
2101,20,,SD
2102,11,,ND
2103,3,,AK
2104,14,,VT
2105,5,,WY
2106,18,,TX
2107,8,,FL
2108,10,,OH
2109,13,,CA
2110,7,,GA
2111,4,,NY
2112,16,,IL
2113,12,,PA
2114,17,,MI
2115,9,,NC
2116,6,,VA
2117,15,,AZ
2118,1,,NJ
2119,20,,MA
2120,11,,CO
2121,3,,TN
2122,14,,IN
2123,5,,MO
2124,18,,MD
2125,8,,WI
2126,10,,MN
2127,13,,AL
2128,7,,SC
2129,4,,LA
2130,16,,KY
2131,12,,OR
2132,17,,OK
2133,9,,CT
2134,6,,UT
2135,15,,IA
2136,1,,NV
2137,20,,AR
2138,11,,MS
2139,3,,KS
2140,14,,NM
2141,5,,NE
2142,18,,WV
2143,8,,ID
2144,10,,HI
2145,13,,NH
2146,7,,ME
2147,4,,RI
2148,16,,MT
2149,12,,DE
2150,17,,SD
2151,9,,ND
2152,6,,AK
2153,15,,VT
2154,1,,WY
2155,20,,TX
2156,11,,FL
2157,3,,OH
2158,14,,CA
2159,5,,GA
2160,18,,NY
2161,8,,IL
2162,10,,PA
2163,13,,MI
2164,7,,NC
2165,4,,VA
2166,16,,AZ
2167,12,,NJ
2168,17,,MA
2169,9,,CO
2170,6,,TN
2171,15,,IN
2172,1,,MO
2173,20,,MD
2174,11,,WI
2175,3,,MN
2176,14,,AL
2177,5,,SC
2178,18,,LA
2179,8,,KY
2180,10,,OR
2181,13,,OK
2182,7,,CT
2183,4,,UT
2184,16,,IA
2185,12,,NV
2186,17,,AR
2187,9,,MS
2188,6,,KS
2189,15,,NM
2190,1,,NE
2191,20,,WV
2192,11,,ID
2193,3,,HI
2194,14,,NH
2195,5,,ME
2196,18,,RI
2197,8,,MT
2198,10,,DE
2199,13,,SD
2200,7,,ND
2201,4,,AK
2202,16,,VT
2203,12,,WY
2204,17,,TX
2205,9,,FL
2206,6,,OH
2207,15,,CA
2208,1,,GA
2209,20,,NY
2210,11,,IL
2211,3,,PA
2212,14,,MI
2213,5,,NC
2214,18,,VA
2215,8,,AZ
2216,10,,NJ
2217,13,,MA
2218,7,,CO
2219,4,,TN
2220,16,,IN
2221,12,,MO
2222,17,,MD
2223,9,,WI
2224,6,,MN
2225,15,,AL
2226,1,,SC
2227,20,,LA
2228,11,,KY
2229,3,,OR
2230,14,,OK
2231,5,,CT
2232,18,,UT
2233,8,,IA
2234,10,,NV
2235,13,,AR
2236,7,,MS
2237,4,,KS
2238,16,,NM
2239,12,,NE
2240,17,,WV
2241,9,,ID
2242,6,,HI
2243,15,,NH
2244,1,,ME
2245,20,,RI
2246,11,,MT
2247,3,,DE
2248,14,,SD
2249,5,,ND
2250,18,,AK
2251,8,,VT
2252,10,,WY
2253,13,,TX
2254,7,,FL
2255,4,,OH
2256,16,,CA
2257,12,,GA
2258,17,,NY
2259,9,,IL
2260,6,,PA
2261,15,,MI
2262,1,,NC
2263,20,,VA
2264,11,,AZ
2265,3,,NJ
2266,14,,MA
2267,5,,CO
2268,18,,TN
2269,8,,IN
2270,10,,MO
2271,13,,MD
2272,7,,WI
2273,4,,MN
2274,16,,AL
2275,12,,SC
2276,17,,LA
2277,9,,KY
2278,6,,OR
2279,15,,OK
2280,1,,CT
2281,20,,UT
2282,11,,IA
2283,3,,NV
2284,14,,AR
2285,5,,MS
2286,18,,KS
2287,8,,NM
2288,10,,NE
2289,13,,WV
2290,7,,ID
2291,4,,HI
2292,16,,NH
2293,12,,ME
2294,17,,RI
2295,9,,MT
2296,6,,DE
2297,15,,SD
2298,1,,ND
2299,20,,AK
2300,11,,VT
2301,3,,WY
2302,14,,TX
2303,5,,FL
2304,18,,OH
2305,8,,CA
2306,10,,GA
2307,13,,NY
2308,7,,IL
2309,4,,PA
2310,16,,MI
2311,12,,NC
2312,17,,VA
2313,9,,AZ
2314,6,,NJ
2315,15,,MA
2316,1,,CO
2317,20,,TN
2318,11,,IN
2319,3,,MO
2320,14,,MD
2321,5,,WI
2322,18,,MN
2323,8,,AL
2324,10,,SC
2325,13,,LA
2326,7,,KY
2327,4,,OR
2328,16,,OK
2329,12,,CT
2330,17,,UT
2331,9,,IA
2332,6,,NV
2333,15,,AR
2334,1,,MS
2335,20,,KS
