week,total_donations,total_spend_channel_a,total_spend_channel_b,total_spend_channel_c,total_spend_channel_d,total_spend_channel_e,total_web_visits,total_actions,total_offline_events
2026-01-04,,12000,1500,4000,200,500,,,0
2026-01-11,,12500,1200,3500,150,800,,,1
2026-01-18,,13000,1000,5000,100,1200,,,0
2026-01-25,,14000,2000,4500,300,400,,,2
2026-02-01,,6000,5000,2000,1200,2000,,,4
2026-02-08,,6500,5500,1500,1100,2500,,,5
2026-02-15,,7000,6000,2500,1500,1800,,,3
2026-02-22,,5500,4500,3000,900,3000,,,6
2026-03-01,,1000,500,8000,50,4000,,,8
2026-03-08,,1200,800,7500,80,4500,,,7
2026-03-15,,900,400,9000,30,5000,,,10
2026-03-22,,1500,1100,8500,120,3500,,,9
2026-03-29,,8000,2000,1000,500,200,,,2
2026-04-05,,8500,2200,1200,550,300,,,3
2026-04-12,,9000,2500,1500,600,400,,,2
2026-04-19,,9500,2800,1100,650,500,,,4
2026-04-26,,10000,3000,1300,700,600,,,5
2026-05-03,,11000,3500,1800,800,700,,,4
2026-05-10,,10500,3200,1600,750,800,,,3
2026-05-17,,11200,3800,2000,900,1000,,,6
2026-05-24,,12000,4500,2500,1100,1500,,,7
2026-05-31,,13000,5500,3000,1500,2000,,,8
2026-06-07,,5000,1000,500,200,5000,,,1
2026-06-14,,4800,900,400,150,5500,,,0
2026-06-21,,4500,800,300,100,6000,,,1
2026-06-28,,4200,700,200,50,6500,,,0
2026-07-05,,7000,2000,1500,400,1000,,,2
2026-07-12,,7500,2200,1700,450,1200,,,3
2026-07-19,,8000,2500,1900,500,1500,,,4
2026-07-26,,8500,2800,2100,550,1800,,,3
2026-08-02,,9000,3000,2300,600,2000,,,5
2026-08-09,,9500,3500,2500,700,2500,,,6
2026-08-16,,10000,4000,2700,800,3000,,,7
2026-08-23,,10500,4500,2900,900,3500,,,8
2026-08-30,,11000,5000,3100,1000,4000,,,9
2026-09-06,,6000,1500,800,300,200,,,2
2026-09-13,,6500,1800,1000,350,300,,,1
2026-09-20,,7000,2100,1200,400,400,,,3
2026-09-27,,7500,2400,1400,450,500,,,2
2026-10-04,,8500,3200,1200,600,1500,,,2
2026-10-11,,9200,2800,900,450,2200,,,1
2026-10-18,,7800,4100,1500,700,900,,,3
2026-10-25,,10500,3500,2100,850,1100,,,4
2026-11-01,,12000,5500,3000,1200,3000,,,5
2026-11-08,,11500,4800,2500,1100,2800,,,3
2026-11-15,,14000,6200,4000,1500,1500,,,6
2026-11-22,,18000,9000,6000,3000,500,,,12
2026-11-29,,25000,15000,8000,5000,100,,,15
2026-12-06,,15000,7500,3500,2000,1200,,,8
2026-12-13,,13000,5000,2800,1100,2400,,,5
2026-12-20,,22000,12000,7000,4000,800,,,10
2026-12-27,,9000,3000,1000,500,4500,,,2
